Year,Exact Date,Race,Age,Sex,Shots,Facial Expression,Title,Appearance,Main Keyword,Theme,Representations,Changing After An Event,Past Tragedy,Overall Percepted Theme,Sameness
2017,"Mar 6, 2017",White,Young,Female,Full,Smiling,TV Personality,Normal,2 And More Kids,Family,Group,No,No,Happiness,Yes
2021,"December 20, 2021",White,Middle Age,Female,Half,Smiling,Actress,Normal,Addiction,Family,Group,Yes,No,Hopefulness,Yes
2022,"July 18, 2022",White,Middle Age,Female,Half,Confident,Actress,Normal,Addiction,Personal Story,Individual,Yes,No,Hopefulness,17
2020,"February 3, 2020",White,Middle Age,Female,Self,Confident,Singer,Normal,Addiction,Personal Story,Individual,Yes,No,Hopefulness,97
2018,"November5,2018",White,Old,Female,Half,Confident,Actress,Normal,Addiction,Personal Story,Individual,Yes,Yes,Hopefulness,358
2022,"October 31, 2022",White,Old,Male,Full,Confident,Actor,Normal,Addiction,Personal Story,Individual,Yes,Yes,Hopefulness,7
2022,"October 24, 2022",White,Old,Male,Full,Confident,Actor,Normal,Aging,Personal Story,Individual,Yes,No,Happiness,8
2019,"May 27, 2019",White,Middle Age,Male,Full,Smiling,Royal Family,Normal,Baby,Family,Group,No,No,Happiness,Yes
2019,"June 3, 2019",African-American,Middle Age,Female,Half,Smiling,Journalist,Normal,Baby,Family,Group,Yes,No,Happiness,262
2019,"July 22, 2019",Mixed,Middle Age,Female,Half,Smiling,Royal Family,Normal,Baby,Family,Group,Yes,No,Mystery,Yes
2019,"April 8, 2019",White,Middle Age,Female,Self,Smiling,TV Personality,Normal,Baby,Family,Individual,Yes,No,Happiness,253
2019,"May 20,2019",Mixed,Middle Age,Female,Self,Smiling,Royal Family,Normal,Baby,Family,Individual,Yes,No,Happiness,999
2016,"Ağu 8, 2016",White,Child,Male,Full,Confident,Royal Family,Normal,Baby Family,Family,Individual,Yes,Yes,Happiness,199
2020,"October 19, 2020",White,Middle Age,Male,Half,Confident,Royal Family,Normal,Battle,Family,Group,Yes,No,Shocking,Yes
2021,"June 21, 2021",White,Old,Male,Self,Confident,Host,Normal,Battle,Personal Story,Individual,Yes,No,Hopefulness,60
2020,"June 29, 2020",African-American,Middle Age,Male,Self,Confident,Actor,Normal,Battle,Personal Story,Individual,Yes,No,Hopefulness,85
2018,"March 19,2018",White,Middle Age,Female,Half,Smiling,Non-Celebrity,Normal,Betrayal,Romance,Group,Yes,No,Sadness,Yes
2019,"November 18, 2019",White,Middle Age,Female,Half,Smiling,TV Personality,Normal,Better Together,Romance,Group,Yes,No,Happiness,Yes
2022,"March 14, 2022",African-American,Middle Age,Female,Self,Smiling,Singer,Overweight,Body Shame,Personal Story,Individual,Yes,No,Happiness,30
2022,"February 28, 2022",White,Old,Female,Half,Confident,Supermodel,Normal,Body Shame,Personal Story,Individual,Yes,No,Sadness,32
2021,"November 1, 2021",White,Middle Age,Female,Self,Smiling,Actress,Normal,Body Shame,Romance,Individual,Yes,No,Happiness,47
2019,"November 11, 2019",White,Middle Age,Female,Self,Smiling,Actress,Normal,Breaking Point,Personal Story,Individual,Yes,No,Mystery,296
2022,"June 27, 2022",White,Young,Male,Full,Confident,Singer,Normal,Brothers,Family,Group,No,No,Happiness,Yes
2020,"January 20, 2020",White,Young,Male,Self,Smiling,Actor,Normal,Brothers,Romance,Group,Yes,No,Happiness,Yes
2016,"Kas 28, 2016",White,Middle Age,Female,Half,Confident,TV Personality,Overweight,Celebrate,Personal Story,Individual,Yes,No,Happiness,219
2021,"January 18, 2021",White,Middle Age,Male,Half,Confident,Royal Family,Normal,Change,Family,Group,Yes,No,Happiness,Yes
2020,"February 17, 2020",White,Middle Age,Female,Half,Confident,Royal Family,Normal,Change,Family,Group,Yes,No,Hopefulness,95
2022,"May 30, 2022",White,Middle Age,Female,Half,Confident,Actress,Normal,Change,Personal Story,Individual,Yes,No,Hopefulness,22
2020,"March 16, 2020",White,Middle Age,Female,Self,Smiling,Actress,Normal,Change,Personal Story,Individual,Yes,No,Hopefulness,91
2019,"October 21, 2019",African-American,Middle Age,Female,Self,Smiling,Host,Normal,Change,Personal Story,Individual,Yes,No,Mystery,292
2016,"Eyl 19, 2016",White,Middle Age,Female,Self,Confident,Actor,Normal,Change My Life,Personal Story,Individual,Yes,No,Hopefulness,207
2015,"Kas 30, 2015",White,Middle Age,Female,Self,Confident,Singer,Overweight,Changed Life,Romance,Individual,Yes,No,Happiness,155
2018,"October15,2018",White,Old,Female,Half,Confident,Actress,Normal,Confessions,Career,Group,No,No,Shocking,Yes
2018,"July23,2018",African-American,Middle Age,Female,Self,Smiling,Singer,Normal,Confessions,Death,Individual,Yes,Yes,Sadness,341
